"";"TCGA-2J-AAB6";"TCGA-2J-AAB8";"TCGA-2J-AAB9";"TCGA-2J-AABA";"TCGA-2J-AABE";"TCGA-2J-AABF";"TCGA-2J-AABK";"TCGA-2J-AABO";"TCGA-2J-AABR";"TCGA-2J-AABT";"TCGA-2J-AABU";"TCGA-2J-AABV";"TCGA-2L-AAQA";"TCGA-2L-AAQE";"TCGA-2L-AAQI";"TCGA-2L-AAQJ";"TCGA-2L-AAQL";"TCGA-3A-A9I5";"TCGA-3A-A9I7";"TCGA-3A-A9I9";"TCGA-3A-A9IB";"TCGA-3A-A9IC";"TCGA-3A-A9IH";"TCGA-3A-A9IU";"TCGA-3A-A9IX";"TCGA-3A-A9IZ";"TCGA-3A-A9J0";"TCGA-3E-AAAY";"TCGA-3E-AAAZ";"TCGA-F2-6880";"TCGA-F2-7273";"TCGA-F2-7276";"TCGA-F2-A44G";"TCGA-F2-A44H";"TCGA-F2-A7TX";"TCGA-F2-A8YN";"TCGA-FB-A4P5";"TCGA-FB-A4P6";"TCGA-FB-A545";"TCGA-FB-A5VM";"TCGA-FB-A78T";"TCGA-FB-AAPP";"TCGA-FB-AAPQ";"TCGA-FB-AAPS";"TCGA-FB-AAPU";"TCGA-FB-AAPY";"TCGA-FB-AAPZ";"TCGA-FB-AAQ0";"TCGA-FB-AAQ1";"TCGA-FB-AAQ2";"TCGA-FB-AAQ3";"TCGA-FB-AAQ6";"TCGA-H6-8124";"TCGA-HV-A5A3";"TCGA-HV-A5A4";"TCGA-HV-A5A5";"TCGA-HV-A5A6";"TCGA-HV-A7OL";"TCGA-HV-AA8V";"TCGA-HV-AA8X";"TCGA-HZ-7918";"TCGA-HZ-7919";"TCGA-HZ-7920";"TCGA-HZ-7922";"TCGA-HZ-7923";"TCGA-HZ-7924";"TCGA-HZ-7925";"TCGA-HZ-7926";"TCGA-HZ-8001";"TCGA-HZ-8002";"TCGA-HZ-8003";"TCGA-HZ-8005";"TCGA-HZ-8315";"TCGA-HZ-8317";"TCGA-HZ-8636";"TCGA-HZ-8637";"TCGA-HZ-A49G";"TCGA-HZ-A49H";"TCGA-HZ-A49I";"TCGA-HZ-A4BH";"TCGA-HZ-A77O";"TCGA-HZ-A8P0";"TCGA-HZ-A8P1";"TCGA-IB-7644";"TCGA-IB-7645";"TCGA-IB-7646";"TCGA-IB-7647";"TCGA-IB-7649";"TCGA-IB-7651";"TCGA-IB-7652";"TCGA-IB-7654";"TCGA-IB-7885";"TCGA-IB-7886";"TCGA-IB-7887";"TCGA-IB-7888";"TCGA-IB-7889";"TCGA-IB-7890";"TCGA-IB-7891";"TCGA-IB-7893";"TCGA-IB-7897";"TCGA-IB-8126";"TCGA-IB-8127";"TCGA-IB-A5SO";"TCGA-IB-A5SP";"TCGA-IB-A5SQ";"TCGA-IB-A5SS";"TCGA-IB-A5ST";"TCGA-IB-A6UF";"TCGA-IB-A6UG";"TCGA-IB-A7LX";"TCGA-IB-A7M4";"TCGA-IB-AAUM";"TCGA-IB-AAUN";"TCGA-IB-AAUO";"TCGA-IB-AAUP";"TCGA-IB-AAUQ";"TCGA-IB-AAUR";"TCGA-IB-AAUS";"TCGA-IB-AAUU";"TCGA-IB-AAUV";"TCGA-IB-AAUW";"TCGA-L1-A7W4";"TCGA-LB-A7SX";"TCGA-LB-A8F3";"TCGA-LB-A9Q5";"TCGA-M8-A5N4";"TCGA-OE-A75W";"TCGA-PZ-A5RE";"TCGA-Q3-A5QY";"TCGA-Q3-AA2A";"TCGA-RB-AA9M";"TCGA-RL-AAAS";"TCGA-S4-A8RM";"TCGA-S4-A8RO";"TCGA-S4-A8RP";"TCGA-US-A774";"TCGA-US-A779";"TCGA-US-A77G";"TCGA-US-A77J";"TCGA-XD-AAUG";"TCGA-XD-AAUH";"TCGA-XD-AAUI";"TCGA-XD-AAUL";"TCGA-XN-A8T3";"TCGA-YB-A89D";"TCGA-YY-A8LH";"TCGA-Z5-AAPL"
"ABO";7,6023;168,2726;25,7235;102,7086;869,4312;52,0953;196,9046;22,4359;25,974;254,0676;370,0873;11,0236;409,813;315,1066;58,3022;288,1188;15,5243;3,6014;174,9789;232,8612;64,0935;198,0247;159,9071;387,522;31,0362;227,5093;163,1899;27,7913;235,6021;24,5474;66,0013;24,7823;24,2826;4,4743;273,0871;435,1879;135,1008;73,5695;53,7472;3,6515;468,5809;51,4693;99,6159;30,3448;271,457;79,0899;90,5141;86,4437;74,4442;470,4514;77,3449;157,7465;77,852;154,175;634,0677;71,0572;226,4454;71,4726;204,1707;428,3553;0;190,5252;75,2174;178,5867;138,5023;355,3616;115,7829;33,0375;7,362;40,6417;19,9266;13,3678;263,5365;63,7186;479,9441;162,0237;83,151;33,2502;132,0314;80,1536;22,6963;115,6942;1541,9162;549,0798;20,3742;126,3959;26,137;23,8257;75,2104;872,7803;353,7077;425,6105;111,1301;388,193;210,787;42,0272;32,7963;54,4655;12,7436;12,6491;111,1576;299,1647;110,8098;385,3046;26,9582;15,9408;28,3967;225,4998;107,3582;67,5037;54,2734;148,3871;413,1535;118,0504;36,9595;26,148;117,2227;34,7869;243,7154;23,6025;225,7177;93,5598;477,3281;10,1523;22,8363;263,6416;21,3505;164,5069;28,1874;511,1752;88,8412;16,6131;418,711;128,5937;295,9238;229,0526;65,4935;514,8334;1,827;37,8378;67,1525;58,9401;120,1663;60,654;151,0791;169,7718;36,4672
"ABP1";227,4854;1522,9142;982,851;3118,8351;1508,8639;1612,1201;1666,3801;1883,0128;636,9821;2958,0726;1393,0131;514,9606;3538,709;3841,0565;4364,8943;3240,099;4049,2442;1053,4214;9572,2739;3518,9802;481,3061;929,8765;2378,8597;1834,7979;947,4222;1098,1413;2703,4592;1355,9239;1269,2595;56,459;777,6447;352,6457;2061,2583;253,915;336,8514;1454,9181;1138,1878;975,4768;495,8365;170,0574;2187,2659;11563,9019;1680,9061;240;4295,2536;3945,2871;615,496;3249,929;535,5983;1268,0316;2553,1324;1907,0423;926,3979;2529,8714;4478,2375;908,7233;1338,3298;3590,2649;1281,7653;5141,1282;1238,4458;2121,9203;185,5363;844,5396;295,8913;4280,0499;1604,9576;1449,4082;413,9059;272,3708;601,9927;655,4549;1600,5301;989,9325;1654,4612;339,7374;1873,0853;646,1624;2666,4833;1596,3523;1925,3072;1621,7133;5842,515;10881,9018;1007,4844;685,2792;1852,8489;1670,5242;888,4062;7375,5632;1145,8269;753,881;2360,4776;983,0954;1631,2603;2441,2855;891,6492;702,4767;178,7856;339,3567;190,752;2166,1594;1383,5723;8956,9362;679,837;1477,18;2125,8191;1525,4964;555,0419;694,3233;2241,4405;1441,5771;1675,6605;1310,8513;2136,1739;1107,1429;895,8521;317,4914;5210,4815;175,5694;895,3991;7,6898;3939,6962;2987,8173;634,8481;1796,6686;2745,7795;3318,9991;1106,2241;2465,0324;606,4378;1107,717;6314,3451;3480,0982;3774,4839;2150,7368;5104,4621;5997,2615;653,4714;547,973;471,1088;1318,4745;1012,0582;983,6498;3056,5262;5235,145;634,7578
"ABRA";0;0;2,1436;0,6263;0,6166;3,8983;0,8598;2,4038;2,4737;50,0626;0;1,5748;0,4022;2,317;0,9717;2,4752;1,2937;1,2005;0,8453;1,1331;1,2093;0,4938;0,3872;0,4394;0,8167;0;0,5281;0,9751;11,2191;0;0;6,0281;1,6556;2,2371;1,3193;0;2,179;1,3624;0;0,5216;0,8323;2,0866;0;1,3793;0;0;6,517;0,5921;2,4981;0,9307;0;0;0,4119;2,336;1,612;1,1554;1,0707;0,6161;0;0,8645;0;1,1883;2,5072;1,7131;5,6329;4,4888;0,9413;0,3031;6,135;4,2781;1,5732;0,4312;0,7573;11,2145;0,6991;0,9606;0;13,8543;0,5501;0,48;0,5536;1,3298;0;0,6135;2,4948;0;0,2614;0;0,8146;0;0,9308;0,6713;0,7534;0,7007;0;0,412;0;0,8577;0;2,1684;4,1169;0,259;0,3874;0,5076;1,4704;0,7591;3,0581;0,9637;0;0,9184;0,5072;4,3011;0,5621;0,4919;0,44;0;4,0577;0,49;0;5,7971;7,8647;0;0,4639;0;5,4807;0,5744;0,4965;0;3,191;0;1,7167;5,895;0,8316;0,5043;4,7644;1,2632;0;0,4564;6,6991;0;7,2879;0,9906;0,4158;1,0549;0;0;1,1396
"ABR";3733,3333;2300,3525;3050,3751;4541,0991;3097,2715;3666,8734;2317,7128;3719,5513;3100,804;3541,3016;2299,1266;1574,8031;2169,7165;2971,2697;2331,6037;2238,6139;2912,0923;2584,6339;3814,0321;2191,5014;2302,5295;2346,1728;2649,5015;2519,7715;2838,5911;1288,4758;3565,3552;2975,6216;4079,282;1550,1688;2724,9501;3263,5633;2581,6777;3016,7785;2485,4881;2500,9142;2785,5457;4166,8937;3588,9478;2009,3897;3331,6687;3620,24;1395,52;2641,3793;4620,4013;2875,4063;3363,5047;2724,7537;3397,4519;2591,4379;1088,8359;1454,4601;4168,9966;2643,556;4957,5497;3150,2022;3259,636;2154,6519;3123,1814;2390,3177;3792,229;2972,7482;3272,5848;2740,0428;3110,338;3655,1122;2705,0518;3831,4449;2714,1104;3357,2193;2993,7074;4163,8637;2723,2109;2335,1599;3520,4055;3629,8431;3550,8753;2337,4896;2733,0491;2836,0931;2722,4441;3763,3855;3422,7545;1780,3681;2967,1518;1555,8376;3002,3523;2861,13;2702,4165;2938,2454;2874,3407;3266,5939;3053,6278;2370,1498;2215,7402;3571,0754;2984,9752;2987,4558;2960,2699;3218,6484;1956,923;2812,4069;2749,322;2798,6618;4640,7329;3374,1342;2750,1092;1511,5231;2608,2674;4255,026;1521,1768;2463,0824;2651,4896;3972,3959;2837,5254;2100,1276;3262,3986;3790,2989;2209,2032;2744,0994;3102,2414;2494,9268;1714,0206;5215,2284;1887,1889;4109,1327;2285,5015;2595,0038;2619,3047;5852,92;3153,6481;2644,6945;2878,5863;2539,095;4924,828;3254,3158;3928,602;2698,7677;3213,1547;2439,1892;3455,4919;2823,6751;2804,158;2899,789;3204,0082;3364,1274;1817,6638
"ABT1";419,883;461,5746;508,0386;380,1472;580,2374;582,9716;532,2442;526,4423;548,5467;498,1227;395,1965;757,4803;378,4436;458,7581;504,8002;728,7129;798,2057;693,2773;573,5418;584,7025;550,2368;531,358;482,4315;853,6907;530,8831;453,5316;651,7032;611,8966;587,8833;521,6324;485,6953;530,8104;1005,5188;687,9195;674,1425;335,79;682,7674;467,3025;441,3323;927,4909;714,1074;563,3803;1166,6726;642,069;658,5555;567,1723;519,189;524,5832;669,9975;484,8767;876,3251;820,6573;505,0084;396,3387;659,3229;612,3628;694,8608;595,1941;468,4772;803,5444;407,362;389,7647;529,656;491,6488;509,609;614,9626;550,9884;585,2797;539,4683;435,2941;500,2622;942,6477;404,0136;502,1027;588,3073;567,0829;541,0284;767,5256;494,0173;700,264;520,9069;748,6876;783,2335;716,5644;503,5343;408,6294;404,3387;507,8285;729,5683;576,7294;531,4924;623,3112;416,6435;698,257;589,4331;672,0231;424,8145;520,2101;352,3238;413,0828;533,1449;590,2998;622,2394;402,057;666,6029;461,5239;773,7003;459,1908;460,0299;595,1342;815,6226;522,5806;478,3586;652,2284;691,6716;478,9541;903,0658;626,1636;388,5812;608,2816;583,5627;603,2255;403,108;954,3147;591,0025;507,7542;811,3208;474,9673;1047,7219;467,9164;585,8369;622,1865;651,1435;800,3066;587,0831;656,4211;478,1025;408,9457;732,0341;522,2973;648,0999;651,8078;602,9106;512,1308;395,6835;518,5757;745,8689
"ABTB1";1105,848;3124,7944;1013,9335;1113,5118;1106,2124;812,6163;573,0868;781,25;753,2468;1260,9512;1120,0873;1225,1969;879,9517;2429,5644;414,4317;1167,3267;2804,0693;1034,2137;902,7895;1334,2776;934,7979;769,8765;1420,5788;981,5466;775,4977;785,8736;780,5651;1180,8874;1817,8758;703,2832;451,8962;535,8339;1315,1214;817,6734;567,2823;895,6116;1166,5153;931,8801;822,1045;1862,8065;1190,5951;739,3497;633,593;1187,5862;687,4659;1059,5883;1165,0978;1657,2329;679,4904;1179,1531;839,53;723,0047;471,6432;1129,0593;1592,6921;760,2542;1491,4347;1451,6328;735,2085;998,4871;398,773;680,8999;409,6216;665,0964;977,4685;691,5212;584,5623;519,8108;802,454;467,0232;519,6644;1005,6059;726,9973;539,3144;751,2016;523,8553;681,6193;1366,0294;1585,4766;847,6122;579,0314;1053,216;422,1557;1542,9448;496,4657;587,8173;658,9127;619,469;1748,5745;707,3946;1054,6075;865,3185;684,8625;599,1066;697,3032;971,9819;1096,6261;542,0821;351,1994;517,8894;719,7799;747,5231;1534,289;1304,147;715,6179;832,7166;1192,6606;1520,1962;1317,2851;1097,5083;1170,175;1065,233;1268,6903;2132,7772;1002,7478;984,0561;1215,0586;942,1852;1152,5352;771,4286;813,9992;525,4726;2027,1367;1093,9086;845,8552;1148,7651;1757,6961;1966,2493;1587,538;1178,8032;798,7124;1015,5413;916,0083;657,5928;608,2583;900,2105;1302,3129;2048,8361;1149,8173;816,8919;903,1754;1077,7613;1356,341;737,8692;887,4615;997,9054;1181,1966
"ABTB2";300;247,2385;750,268;363,2378;457,5304;305,4842;446,6896;697,9167;509,5857;565,0814;381,0044;267,7165;739,996;1001,3902;506,7436;1164,3564;440,5009;178,8715;624,683;347,3088;374,0804;218,2716;563,7402;253,5149;406,3298;1371,0037;446,7917;275,4754;351,9073;121,5097;288,2236;325,1842;170,5298;200,2237;350,044;669,5199;337,752;467,9837;1024,2241;259,7809;425,3017;98,0699;770,9014;173,1034;826,0103;352,6544;470,6734;535,8327;590,5571;341,5542;323,6471;193,4272;241,3825;318,4726;281,0317;392,8365;481,2634;255,0832;346,2658;290,469;208,998;698,7246;148,241;397,8587;194,831;224,4389;442,1086;826,2415;268,3027;324,7772;289,4599;743,8551;533,51;334,9051;892,0738;200,1281;344,0919;311,4436;924,7696;1123,5901;495,4428;121,6784;464,6707;324,5399;366,3202;567,5127;1299,7909;381,2117;229,704;398,0917;696,2457;736,7626;491,9859;269,4228;349,4772;341,1619;712,807;274,0431;353,4483;209,6133;184,5765;1542,4464;438,9771;885,3376;342,6143;860,0436;415,4653;618,1971;730,5725;947,8064;482,3738;272,4014;866,217;523,8486;355,0757;500,6378;555,0045;175,8942;1048,9987;168,1159;357,8451;460,9634;209,6718;671,066;206,4398;1303,8484;345,0844;470,8443;286,1291;450,6128;392,2747;266,881;607,9002;499,7504;353,6263;426,1053;914,3899;1384,2994;375,7613;242,5676;351,3795;1056,9589;422,4532;415,6118;484,5838;1292,9115;349,8575
"ACAA1";2056,1404;1022,7967;1442,6581;1979,6462;1636,5038;1693,2754;1865,4342;1107,3718;1336,4255;1137,6721;817,6856;2916,5354;1516,9918;2175,1622;1863,2424;1232,1782;1633,9283;1562,425;2289,5182;2084,9858;1485,841;1024,1975;2020,7144;1886,2039;1359,8775;1266,171;2840,2429;1460,7509;1461,107;2293,9552;1022,2222;1166,7783;1198,1236;1196,868;1449,8681;2004,9544;1796,2593;1509,5368;1648,7509;2649,4523;1690,387;1248,4785;826,5427;1318,6207;1482,6885;2034,6696;1215,0615;1834,857;1682,7379;1825,0349;2125,8582;809,3897;1388,1552;1646,0905;1588,3933;1817,4466;2131,6916;2599,5071;1610,0873;747,3525;1137,4233;1558,6628;1017,6291;1095,5032;1178,2638;1876,3092;828,9928;1377,5743;2258,0777;1315,8645;1098,5842;840,8797;1150,7005;1420,6703;961,2864;1122,9587;1882,3851;1658,077;1675,1478;1315,5748;1893,2003;1444,8475;792,8144;1094,7853;994,1788;674,6193;855,4626;1669,1627;831,659;1364,1664;609,6804;869,682;1175,3416;851,7124;1303,2471;2006,5925;727,1553;1185,3758;1225,2624;747,7412;1284,488;1157,2881;1172,4138;1942,7678;1149,3999;1392,542;1086,0638;1744,2505;2054,2991;1237,5669;1720,5174;1744,8029;1671,1636;1639,4249;1107,4665;2070,7908;1191,1632;1286,6242;2641,2441;1137,4741;1551,7106;1383,3173;936,565;1406,0914;2067,1386;1353,2453;2170,8044;1522,2043;1412,5631;1927,9019;1233,0472;1895,4984;1469,0229;1552,7058;1483,8539;1475,3684;2659,5396;1308,9913;1823,3861;995,9459;1181,1556;1493,3135;1599,1684;1879,2194;1129,4964;1795,6124;1133,3333
"ACAA2";618,7135;879,906;1514,4695;1294,5045;1169,1074;1172,3221;1257,0937;1364,5833;1542,9808;1176,4706;1508,7336;2530,7087;1205,3087;892,9564;2507,4821;1201,9802;1786,5835;1849,3397;3221,4708;1538,8102;1597,0977;1384,1975;1281,5797;912,5659;1803,3691;1249,8141;1240,5598;1992,1989;1014,2109;2177,355;1683,8323;1893,8379;958,6093;1288,5906;1729,1117;1255,0922;1673,5064;1799,0463;915,2157;1133,0203;1302,1223;1813,9454;1058,0823;1331,7241;707,7407;1685,2654;1600,2896;1180,6082;1766,1754;1660,3071;2125,8582;790,6103;1539,3281;632,2732;1128,9629;1939,3414;635,9743;2027,7264;1475,7517;1547,0067;1644,9898;2544,5615;1845,0208;1956,7452;1612,6574;3505,985;1367,4302;2549,9522;2044,5808;1916,221;1581,0173;1070,7201;2149,9432;1579,2022;1318,1858;1056,0359;1829,8687;1803,8238;1027,0939;1634,7492;2133,4485;705,4685;1274,2515;1480,3681;1644,4906;1535,533;2032,1485;2241,661;1547,3799;1232,7061;1964,0087;1352,6894;1075,1362;2605,2378;1675,2889;2510,5068;2039,5195;1913,5842;1179,91;1345,8619;1979,5662;977,7893;1200,6974;1837,1771;1304,7772;1467,6914;1071,2101;1237,3578;1753,6961;1375,7887;1188,9424;1564,1577;1362,0011;1445,6255;1050,7072;1249,3622;990,532;1594,3165;1377,5032;1580,9524;2593,3936;778,8102;764,931;1606,599;1707,2391;1024,1241;2047,1698;1427,7881;1155,6851;961,788;1969,0987;2303,8585;868,1913;1101,3671;1545,7914;2140,6316;4876,2425;1209,9498;1788,0633;1365,5405;1927,1213;1847,4492;1045,3222;1478,903;1984,0699;3133,9433;919,0883
"ACACA";1005,2632;1296,3572;1100,7503;756,5367;1527,979;1605,0323;1297,5064;1255,609;917,7489;1448,6859;897,3799;571,6535;2033,7824;1059,3142;1599,9106;1750;722,5249;1111,6447;891,3779;697,4504;1069,4346;949,6296;1794,5988;1158,6116;1137,7233;1159,1078;1681,5421;901,999;1802,917;742,5591;1052,8277;1231,4133;1312,362;586,1298;1078,7159;1056,8113;968,9486;1068,8011;1177,8955;1037,5587;1268,4145;845,766;774,4912;848,9655;1722,2315;982,1235;712,5272;1182,9765;1671,2466;1529,0833;789,9692;715,493;1349,4351;1150,0831;1059,108;926,632;1377,409;711,029;1031,0378;2150,8537;1195,092;1526,1824;1611,5333;1868,0942;1082,8363;946,8828;1176,3414;880,4958;958,6912;1481,2834;1125,8521;1388,9608;942,8247;1319,74;1283,2299;888,5687;1065,0985;750,3464;572,686;2207,3434;913,3861;1570,5153;1356,8862;1055,8282;1710,1871;464,9746;1804,7569;805,3097;747,76;858,203;1668,942;1513,1325;725,5474;940,7025;1565,7677;1005,7684;989,0132;2302,1336;1441,904;1726,4185;672,435;1010,1664;868,6556;1288,9175;1124,8925;1042,6037;1112,713;509,3019;1192,2128;997,4009;1399,442;1017,9211;1066,8915;830,2878;794,1903;1282,5255;901,7133;691,3278;1242,0111;912,6294;1360,991;1410,2318;2172,7937;756,3452;1306,2343;1198,7364;654,4191;710,8018;737,1282;806,7772;1400,4292;783,4941;772,973;1554,7229;1065,1138;1438,3158;1097,7717;1733,455;724,1169;1106,7568;1611,6606;1539,3759;1197,921;1055,9072;1007,7081;829,8975;645,0142
"ACACB";147,3684;309,2832;676,313;951,9336;568,5217;802,339;766,1221;467,9487;672,851;2013,7672;379,9127;1349,6063;416,6499;431,418;622,8623;231,1881;747,7518;496,3986;812,7642;1063,4561;364,0028;341,7284;656,2772;292,1793;947,4222;225,2788;432,0042;903,9493;1026,926;3345,8116;811,7099;944,0723;364,7903;732,6622;609,9384;332,6999;2000,3632;1546,3215;301,2869;526,3432;703,2876;1082,2466;376,925;951,7241;429,5254;684,7237;616,9442;425,1137;437,1721;328,9902;238,042;358,6854;301,934;240,6064;552,3912;859,6187;289,6146;324,7073;590,6887;358,3315;917,7914;554,1472;1363,0024;441,5418;2435,719;1067,8304;380,9225;288,8511;724,3354;2376,4706;1346,6177;239,3273;549,4131;958,328;402,6916;656,7403;1077,1335;1235,7994;514,3722;617,7106;334,3547;524,6133;415,5689;481,9018;1920,9979;197,9695;626,2415;739,2784;499,5927;545,9846;1047,7816;446,0854;468,6298;275,3788;985,1403;413,6794;445,8246;562,2387;152,5487;2923,7441;1989,8586;510,0045;705,153;1002,6042;526,9104;202,6758;1750,983;449,5541;991,4529;303,0776;312,9597;1927,5986;532,3215;454,0022;748,4309;668,3673;893,147;496,3253;461,4401;853,0021;1467,558;193,5277;553,8676;527,4112;987,4401;234,3481;610,7249;423,0178;1043,4672;465,7534;738,1974;626,4737;861,9543;619,7712;859,1848;768,4211;660,9805;1025,5591;988,4287;1356,7568;3202,4987;667,162;592,5156;926,1603;477,3895;550,7662;545,2991
"ACAD10";297,076;374,1481;606,6452;468,4515;583,3205;573,403;506,0189;443,9103;529,9938;638,2979;838,4279;748,0315;569,4752;412,4189;442,6112;368,3168;518,769;507,8031;726,5427;590,9348;582,082;342,716;432,4848;545,2548;567,2282;460,9665;478,479;548,5129;731,8624;826,0203;355,0233;418,6202;631,3466;579,4183;601,1434;305,9191;473,5791;596,049;563,2097;453,8341;651,6854;916,7101;408,3354;488,9655;488,4725;456,1213;400,4345;593,2645;539,5953;520,242;299,6176;533,3333;456,8143;488,2208;564,2128;648,7579;462,5268;567,4677;503,8797;395,9369;302,2495;392,1413;335,9712;348,6081;501,3254;691,0224;340,1318;389,7823;504,2945;437,7897;501,8353;834,4114;494,131;524,0219;359,3463;491,5146;658,0963;553,0618;401,0452;462,683;612,2455;553,8693;689,8204;528,8344;459,8753;410,1523;303,7114;393,4649;586,7499;385,1047;403,0406;462,8682;393,2874;352,4569;386,9015;430,5727;406,3666;312,2119;269,1154;410,1915;588,0375;283,8827;450,2131;550,7978;347,5158;270,9935;392,3111;471,2367;739,698;457,3717;580,2688;645,8781;410,905;531,2268;473,4342;549,7449;532,4617;490,4459;374,9467;462,5259;565,4738;567,3395;570,5671;541,1168;495,0902;613,4406;769,1162;518,6709;571,1946;630,858;564,3777;563,2369;561,3306;468,4845;612,4934;552,8421;754,6866;680,9676;599,8782;535,8108;527,8501;422,9817;491,0603;577,5316;485,6115;574,1374;593,1624
"ACAD11";299,4152;348,6816;324,7588;540,4728;515,4925;205,5072;478,9338;405,4327;371,6079;496,2453;505,4585;313,3858;358,335;396,1631;336,2096;213,2426;270,3808;323,5294;555,3677;530,2833;493,7781;422,2222;272,1479;270,6503;317,7131;354,5428;497,4228;468,5324;347,3785;342,4363;260,4471;313,7676;448,1236;351,2304;187,1284;253,3051;501,1803;480,2452;666,162;273,3438;485,0853;170,4051;290,5733;821,2759;254,8692;361,2514;548,1535;238,6084;387,0097;463,4155;358,1895;259,9718;470,3663;591,7828;399,7313;404,3905;413,2762;242,1442;584,6605;240,3285;266,6667;278,0639;407,691;280,9422;559,2909;324,9377;219,6423;219,442;335,7873;364,6239;413,0309;274,0793;502,0409;462,2251;466,8636;405,9846;545,9519;372,4023;415,2716;344,5884;285,53;385,6473;236,5269;164,1104;284,3909;352,7716;188,1547;187,1341;206,845;193,9703;128,4518;288,3276;221,13;207,0596;405,9934;237,7421;319,7639;205,4251;260,4498;555,0994;451,1352;315,4568;588,8803;231,995;251,4466;170,7297;251,2014;363,787;502,2914;539,446;329,1098;677,9857;350,7083;654,1173;465,5143;521,5242;539,1885;447,8197;260,2429;634,3271;512,3319;412,6113;515,2917;179,6954;366,2937;532,4296;303,8729;246,1048;473,8681;657,5054;375,5365;302,7492;323,0769;451,7421;529,2747;300,1516;322,9333;242,3551;425,7004;565,4122;339,4066;544,7548;347,9751;542,6741;316,5468;213,8684;584,0285
"ACAD8";356,1404;400,47;442,6581;559,8873;537,0741;431,2926;417,0249;404,6474;410,0186;461,8273;363,5371;568,5039;388,0957;542,1687;458,6443;344,5545;374,5228;382,3529;462,8064;584,136;306,359;365,4321;457,2645;495,167;475,7529;373,9777;455,2416;519,7465;568,8108;655,4158;396,008;369,3905;376,9316;357,9418;409,8505;652,0093;499,7276;502,0436;431,4913;372,457;368,2896;502,8691;321,2837;437,931;588,3446;552,546;326,5749;474,8484;439,1706;470,4514;444,5454;438,4977;542,0808;225,0332;417,5175;551,1265;439,5075;353,0499;450,5335;482,386;407,771;442,8424;451,9314;361,0278;562,9556;579,8005;322,2466;355,8355;431,9018;474,1533;492,3964;279,862;484,6649;503,1222;353,7534;663,7848;484,1357;528,1241;455,5082;259,1793;508,1748;509,3204;479,6407;360,4294;328,4823;216,2437;282,8019;382,5732;379,5819;434,4023;371,7034;440,0436;533,0475;482,0881;419,3726;394,726;286,4551;396,2689;326,087;380,918;556,4742;397,8502;401,0074;558,4125;381,3361;339,6907;456,5312;398,4793;693,534;391,2456;416,4342;686,7384;363,6875;440,2296;440,8746;406,8878;412,5338;418,4223;418,4065;460,8696;511,2072;612,1969;786,7332;414,7208;449,4177;230,3274;397,2195;427,5531;421,2161;550,1081;457,9399;483,3869;508,9397;397,884;530,9688;513,2632;447,8747;593,7928;391,5956;397,973;427,3816;354,631;380,8732;460,9705;355,6012;431,7054;515,6695
"ACAD9";1045,614;661,8096;777,0204;623,504;717,1204;747,8338;786,7154;750,6811;734,5269;977,4218;996,6594;1096,063;684,1062;1056,5107;723,8612;883,6485;896,2025;961,7347;692,7092;821,0878;1087,9411;820,721;822,7471;867,0475;734,2358;664,632;1105,2971;745,685;677,2625;848,1006;572,1677;671,1253;740,6181;648,7696;1039,6658;954,7971;758,3076;739,782;856,9266;1116,8284;929,2468;639,3462;663,1996;1114,4414;857,5376;791,8418;794,3519;764,4172;1123,6822;1052,4988;690,8476;801,8498;789,6914;990,4575;693,1757;803,5817;711,4561;913,0437;754,0786;767,0024;775,865;586,6236;639,9749;818,8394;664,6057;668,1122;588,9551;585,8798;965,7587;680,5704;623,3456;1187,5679;670,9542;749,4278;718,6892;577,3295;736,3239;846,7609;787,237;759,2993;944,3471;743,3551;489,7844;598,4601;563,817;806,599;780,2405;653,499;670,3747;649,083;602,5411;824,6941;552,0301;535,342;658,2168;805,7808;714,334;656,5884;652,545;626,3101;684,0997;636,4023;762,8477;725,8702;699,9331;722,6492;621,6645;890,0303;934,5048;953,2709;1194,9937;729,7491;824,6206;1405,7491;671,8366;765,3954;701,5555;814,292;636,1312;704,4596;740,8219;1121,9695;1083,8734;910,6447;814,7888;838,5928;840,0695;695,9591;823,8179;821,1319;817,1502;873,7085;607,4636;951,5731;791,4558;847,1411;788,3754;694,6508;870,268;703,3649;717,8553;767,1818;731,7921;899,2511;693,1912;677,4909;687,6923
